Account;OrderId;Sequence;Status;Currency;Value;Value STR;CreationDate;ApprovedDate;IsInStore;IsB2B;IsCallCenter;IsCertifiedMarketplace;IsCertifiedSeller;IsB2C;ExternalMarketplaceName;InternalMarketplaceAccount;MarketplaceOrderId;InternalCertifiedSellerAccount;SellerOrderId;Type
victoriassecretbeautypa;1101962115661-01;503840;invoiced;USD;33.96;33,96;2021-01-09;2021-01-09;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105542861510-01;504924;invoiced;USD;25.41;25,41;2021-01-24;2021-01-24;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1101951481313-01;503834;invoiced;USD;11.49;11,49;2021-01-09;2021-01-09;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1102073296742-01;503872;invoiced;USD;36.1;36,1;2021-01-09;2021-01-09;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105530351113-01;504916;invoiced;USD;25.41;25,41;2021-01-24;2021-01-24;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105510563565-01;504904;invoiced;USD;44.88;44,88;2021-01-23;2021-01-23;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1102052461982-01;503866;invoiced;USD;25.92;25,92;2021-01-09;2021-01-09;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1101961497808-01;503848;invoiced;USD;25.41;25,41;2021-01-09;2021-01-09;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105510073218-01;504902;invoiced;USD;33.92;33,92;2021-01-23;2021-01-23;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105730777534-01;505014;canceled;USD;23.26;23,26;2021-01-24;2021-01-24;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1101971961279-01;503850;invoiced;USD;25.41;25,41;2021-01-09;2021-01-09;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1101963127660-01;503846;invoiced;USD;25.41;25,41;2021-01-09;2021-01-09;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105682327376-01;504968;invoiced;USD;33.92;33,92;2021-01-24;2021-01-24;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105672083721-01;504962;invoiced;USD;67.31;67,31;2021-01-24;2021-01-24;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1101471319678-01;503736;invoiced;USD;93.48;93,48;2021-01-07;2021-01-07;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1101172357206-01;503658;invoiced;USD;30.15;30,15;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105671793277-01;504966;invoiced;USD;26.44;26,44;2021-01-24;2021-01-24;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105671977611-01;504960;invoiced;USD;41.4;41,4;2021-01-24;2021-01-24;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1101162136045-01;503656;invoiced;USD;21.1;21,1;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105661798720-01;504958;invoiced;USD;44.88;44,88;2021-01-24;2021-01-24;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1101171432520-01;503662;invoiced;USD;21.1;21,1;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1100450443922-01;503574;invoiced;USD;41.93;41,93;2021-01-02;2021-01-02;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105693117767-01;504976;invoiced;USD;22.71;22,71;2021-01-24;2021-01-24;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105691938692-01;504972;invoiced;USD;29.11;29,11;2021-01-24;2021-01-24;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1100012062120-01;503568;invoiced;USD;41.88;41,88;2021-01-01;2021-01-01;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105683591498-01;504970;invoiced;USD;189.9;189,9;2021-01-24;2021-01-24;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1101460491149-01;503732;invoiced;USD;12.55;12,55;2021-01-07;2021-01-07;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105792021212-01;505084;invoiced;USD;25.41;25,41;2021-01-25;2021-01-25;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1101141180907-01;503650;invoiced;USD;21.1;21,1;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105812764119-01;505096;invoiced;USD;25.41;25,41;2021-01-25;2021-01-25;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1100461341398-01;503576;invoiced;USD;61.2;61,2;2021-01-02;2021-01-02;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105700307036-01;504984;invoiced;USD;25.41;25,41;2021-01-24;2021-01-24;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1100891911587-01;503590;invoiced;USD;41.43;41,43;2021-01-04;2021-01-04;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1100733097649-01;503580;invoiced;USD;62.47;62,47;2021-01-04;2021-01-04;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105701067424-01;504986;invoiced;USD;33.92;33,92;2021-01-24;2021-01-24;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1100730741708-01;503582;invoiced;USD;38.78;38,78;2021-01-04;2021-01-04;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105691570185-01;504978;invoiced;USD;41.4;41,4;2021-01-24;2021-01-24;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1100921168179-01;503596;invoiced;USD;12.55;12,55;2021-01-04;2021-01-04;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105710630100-01;504996;invoiced;USD;25.41;25,41;2021-01-24;2021-01-24;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1100932244807-01;503598;invoiced;USD;29.65;29,65;2021-01-04;2021-01-04;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105741112362-01;505020;invoiced;USD;135.93;135,93;2021-01-24;2021-01-24;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105721504149-01;505008;invoiced;USD;107.05;107,05;2021-01-24;2021-01-24;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1101091162113-01;503624;invoiced;USD;74.86;74,86;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1101000290982-01;503618;invoiced;USD;21.1;21,1;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105741662220-01;505022;invoiced;USD;25.41;25,41;2021-01-24;2021-01-24;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1100982225071-01;503612;invoiced;USD;64.14;64,14;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105752710469-01;505026;invoiced;USD;25.41;25,41;2021-01-24;2021-01-24;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1101091541184-01;503626;invoiced;USD;21.1;21,1;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105752080619-01;505024;invoiced;USD;42.82;42,82;2021-01-24;2021-01-24;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105753149532-01;505028;invoiced;USD;42.82;42,82;2021-01-24;2021-01-24;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1101112963768-01;503630;invoiced;USD;36.08;36,08;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105791248857-01;505086;invoiced;USD;33.92;33,92;2021-01-25;2021-01-25;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1101130607302-01;503644;invoiced;USD;51.3;51,3;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105823009174-01;505104;invoiced;USD;40.38;40,38;2021-01-25;2021-01-25;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1101140448003-01;503648;invoiced;USD;43.57;43,57;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105740735472-01;505018;invoiced;USD;42.82;42,82;2021-01-24;2021-01-24;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1101651988540-01;503764;invoiced;USD;74.86;74,86;2021-01-07;2021-01-07;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105812336156-01;505094;invoiced;USD;53.51;53,51;2021-01-25;2021-01-25;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1101620814496-01;503758;invoiced;USD;21.1;21,1;2021-01-07;2021-01-07;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105563340338-01;504940;invoiced;USD;25.92;25,92;2021-01-24;2021-01-24;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1101620157407-01;503756;invoiced;USD;21.1;21,1;2021-01-07;2021-01-07;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105562144863-01;504934;invoiced;USD;41.4;41,4;2021-01-24;2021-01-24;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1101612221208-01;503750;invoiced;USD;49.99;49,99;2021-01-07;2021-01-07;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1101371312376-01;503690;invoiced;USD;12.55;12,55;2021-01-06;2021-01-06;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105571818638-01;504944;invoiced;USD;25.41;25,41;2021-01-24;2021-01-24;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1102440735027-01;504164;invoiced;USD;25.41;25,41;2021-01-11;2021-01-11;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105560996360-01;504942;invoiced;USD;25.41;25,41;2021-01-24;2021-01-24;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105653052146-01;504952;invoiced;USD;44.88;44,88;2021-01-24;2021-01-24;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1101613243109-01;503752;invoiced;USD;21.1;21,1;2021-01-07;2021-01-07;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1100951292939-01;503604;invoiced;USD;29.65;29,65;2021-01-04;2021-01-04;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105573380171-01;504948;invoiced;USD;46.44;46,44;2021-01-24;2021-01-24;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105591795797-01;504950;invoiced;USD;40.54;40,54;2021-01-24;2021-01-24;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1100950272819-01;503602;invoiced;USD;29.65;29,65;2021-01-04;2021-01-04;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1100972026975-01;503610;invoiced;USD;142.58;142,58;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105661647697-01;504956;invoiced;USD;42.82;42,82;2021-01-24;2021-01-24;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105773363702-01;505048;invoiced;USD;44.88;44,88;2021-01-25;2021-01-25;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1101103423868-01;503628;invoiced;USD;23.48;23,48;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105773198297-01;505046;invoiced;USD;64.21;64,21;2021-01-25;2021-01-25;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1101113463834-01;503632;invoiced;USD;12.55;12,55;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1101122136179-01;503634;invoiced;USD;40.37;40,37;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105732088251-01;505010;invoiced;USD;54.51;54,51;2021-01-24;2021-01-24;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105481867723-01;504870;invoiced;USD;26.44;26,44;2021-01-23;2021-01-23;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1101122423090-01;503638;invoiced;USD;21.1;21,1;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1101682252277-01;503782;invoiced;USD;21.1;21,1;2021-01-07;2021-01-07;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1106192886620-01;505154;invoiced;USD;22.19;22,19;2021-01-26;2021-01-26;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1101682440057-01;503784;invoiced;USD;21.1;21,1;2021-01-07;2021-01-07;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1106022947060-01;505130;invoiced;USD;71.64;71,64;2021-01-26;2021-01-26;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105941401130-01;505112;invoiced;USD;36.1;36,1;2021-01-25;2021-01-25;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1101833140259-01;503808;invoiced;USD;62.51;62,51;2021-01-08;2021-01-08;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1101671450157-01;503778;invoiced;USD;12.55;12,55;2021-01-07;2021-01-07;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105932422522-01;505110;invoiced;USD;46.55;46,55;2021-01-25;2021-01-25;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1101653372509-01;503770;invoiced;USD;29.65;29,65;2021-01-07;2021-01-07;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105220736991-01;504702;canceled;USD;82.27;82,27;2021-01-22;2021-01-22;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1106172172662-01;505146;invoiced;USD;29.89;29,89;2021-01-26;2021-01-26;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1101662594905-01;503774;invoiced;USD;21.1;21,1;2021-01-07;2021-01-07;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1102171542411-01;503952;invoiced;USD;42.82;42,82;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1106042612444-01;505132;invoiced;USD;46.8;46,8;2021-01-26;2021-01-26;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1106150539286-01;505142;invoiced;USD;23.48;23,48;2021-01-26;2021-01-26;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1102302701664-01;503994;invoiced;USD;25.41;25,41;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1102251795686-01;503984;invoiced;USD;25.41;25,41;2021-01-10;2021-01-10;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1106160946185-01;505144;invoiced;USD;43.34;43,34;2021-01-26;2021-01-26;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1106641292090-01;505186;invoiced;USD;93.24;93,24;2021-01-28;2021-01-28;False;False;False;False;False;True;;;;;;B2C
