Account;OrderId;Sequence;Status;Currency;Value;Value STR;CreationDate;ApprovedDate;IsInStore;IsB2B;IsCallCenter;IsCertifiedMarketplace;IsCertifiedSeller;IsB2C;ExternalMarketplaceName;InternalMarketplaceAccount;MarketplaceOrderId;InternalCertifiedSellerAccount;SellerOrderId;Type
bathbodygt;1101161918891-01;521624;invoiced;GTQ;474.6;474,6;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1106961398980-01;524318;invoiced;GTQ;254;254;2021-01-30;2021-01-30;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1106970949380-01;524330;invoiced;GTQ;250.6;250,6;2021-01-30;2021-01-30;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101130604480-01;521614;invoiced;GTQ;561;561;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101153177429-01;521620;invoiced;GTQ;232.6;232,6;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1107031562631-01;524394;handling;GTQ;140.5;140,5;2021-01-30;2021-01-30;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101222141515-01;521648;invoiced;GTQ;483.7;483,7;2021-01-06;2021-01-06;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1107051893416-01;524396;handling;GTQ;187;187;2021-01-30;2021-01-30;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1106931902347-01;524266;invoiced;GTQ;442.5;442,5;2021-01-29;2021-01-29;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101351619266-01;521690;invoiced;GTQ;260;260;2021-01-06;2021-01-06;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1106941368920-01;524298;invoiced;GTQ;329.8;329,8;2021-01-29;2021-01-29;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101212490523-01;521644;invoiced;GTQ;353.2;353,2;2021-01-06;2021-01-06;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101242386230-01;521668;invoiced;GTQ;326;326;2021-01-06;2021-01-06;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1106942082315-01;524282;invoiced;GTQ;135.5;135,5;2021-01-29;2021-01-29;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101232657463-01;521660;invoiced;GTQ;462.8;462,8;2021-01-06;2021-01-06;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1106921371392-01;524264;invoiced;GTQ;224.3;224,3;2021-01-29;2021-01-29;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101350676743-01;521688;invoiced;GTQ;137;137;2021-01-06;2021-01-06;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1106980768537-01;524338;invoiced;GTQ;348.4;348,4;2021-01-30;2021-01-30;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101201035652-01;521642;invoiced;GTQ;330.2;330,2;2021-01-06;2021-01-06;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1107110563429-01;524404;handling;GTQ;276;276;2021-01-30;2021-01-30;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1106971442784-01;524334;invoiced;GTQ;254.8;254,8;2021-01-30;2021-01-30;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101361291261-01;521706;invoiced;GTQ;191.2;191,2;2021-01-06;2021-01-06;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1106980498003-01;524336;invoiced;GTQ;234;234;2021-01-30;2021-01-30;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101240257447-01;521670;invoiced;GTQ;645.7;645,7;2021-01-06;2021-01-06;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1107000367477-01;524366;invoiced;GTQ;1664.8;1664,8;2021-01-30;2021-01-30;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101361555301-01;521710;invoiced;GTQ;208;208;2021-01-06;2021-01-06;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101032282964-01;521542;invoiced;GTQ;483.56;483,56;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1107000336054-01;524364;invoiced;GTQ;276;276;2021-01-30;2021-01-30;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101123357397-01;521600;invoiced;GTQ;577.88;577,88;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1107003582850-01;524362;invoiced;GTQ;250;250;2021-01-30;2021-01-30;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101122337250-01;521588;invoiced;GTQ;125.56;125,56;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1106991442180-01;524358;invoiced;GTQ;175.6;175,6;2021-01-30;2021-01-30;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1107001461114-01;524370;invoiced;GTQ;518.5;518,5;2021-01-30;2021-01-30;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101032459885-01;521544;invoiced;GTQ;505;505;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1107012058660-01;524374;invoiced;GTQ;439.5;439,5;2021-01-30;2021-01-30;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101032047840-01;521536;invoiced;GTQ;447.88;447,88;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101071284907-01;521566;invoiced;GTQ;186.4;186,4;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1106671190526-01;524058;invoiced;GTQ;290.5;290,5;2021-01-28;2021-01-28;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1106670560697-01;524056;invoiced;GTQ;325.2;325,2;2021-01-28;2021-01-28;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101073102668-01;521562;invoiced;GTQ;217.36;217,36;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1106700430868-01;524082;invoiced;GTQ;276.5;276,5;2021-01-28;2021-01-28;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101050944726-01;521560;invoiced;GTQ;433.55;433,55;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101082504709-01;521568;invoiced;GTQ;251;251;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1106742122219-01;524132;invoiced;GTQ;421.1;421,1;2021-01-29;2021-01-29;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101033372532-01;521548;invoiced;GTQ;715.32;715,32;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1106882317613-01;524220;invoiced;GTQ;221.5;221,5;2021-01-29;2021-01-29;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1106870372900-01;524204;invoiced;GTQ;161.5;161,5;2021-01-29;2021-01-29;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101021242004-01;521526;invoiced;GTQ;590.96;590,96;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101122520306-01;521590;invoiced;GTQ;126.4;126,4;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1106762920897-01;524178;invoiced;GTQ;471.5;471,5;2021-01-29;2021-01-29;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1106752582374-01;524166;invoiced;GTQ;651.7;651,7;2021-01-29;2021-01-29;False;False;False;False;False;True;;;;;;B2C
